ID,ALOG_SESSION_ID,ALOG_PERS_ID,ALOG_SNIEDZ_ID,ALOG_KLPAK_ID,ALOG_KLAUT_ID,ALOG_CATEGORY,ALOG_EVENTID,ALOG_LEVEL,ALOG_DATUMS,ALOG_INFO,ALOG_DATA1,ALOG_DATA2,ALOG_REQ_ID,ALOG_STACKTRACE,ALOG_APPCODE,ALOG_DISTRICT_ID,ALOG_INFO2,ALOG_START_TS,ALOG_END_TS,,
1,,,,,,,,4,14.04.202000:17:35,CP_PCK.DeleteEmployeeCP_API_PCK.SendERROR,"ERROR:ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>ORA-06512:at""CP.CP_PCK"",line127",,,,KADRI.DB,,,,,,
2,,,,,,0,2,4,14.04.202000:17:35,"ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""CP.CP_PCK"",line127",,,,CPS:SYNC,,,,,,
3,,,,,,0,3,2,14.04.202000:17:35,"ORA-29273:HTTPrequestfailedORA-06512:at""SYS.UTL_HTTP"",line1525ORA-29261:badargumentORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""SYS.UTL_HTTP"",line1525ORA-06512:at""CP.CP_PCK"",line149",,,,CPS:SYNC,,,,,,
4,,,,,,,,4,14.04.202000:17:35,CP_PCK.DeleteEmployeeCP_API_PCK.SendERROR,"ERROR:ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>ORA-06512:at""CP.CP_PCK"",line127",,,,KADRI.DB,,,,,,
5,,,,,,0,2,4,14.04.202000:17:35,"ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""CP.CP_PCK"",line127",,,,CPS:SYNC,,,,,,
6,,,,,,0,3,2,14.04.202000:17:35,"ORA-29273:HTTPrequestfailedORA-06512:at""SYS.UTL_HTTP"",line1525ORA-29261:badargumentORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""SYS.UTL_HTTP"",line1525ORA-06512:at""CP.CP_PCK"",line149",,,,CPS:SYNC,,,,,,
7,,,,,,,,4,14.04.202000:17:35,CP_PCK.DeleteEmployeeCP_API_PCK.SendERROR,"ERROR:ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>ORA-06512:at""CP.CP_PCK"",line127",,,,KADRI.DB,,,,,,
8,,,,,,0,2,4,14.04.202000:17:35,"ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""CP.CP_PCK"",line127",,,,CPS:SYNC,,,,,,
9,,,,,,0,3,2,14.04.202000:17:35,"ORA-29273:HTTPrequestfailedORA-06512:at""SYS.UTL_HTTP"",line1525ORA-29261:badargumentORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>","ORA-06512:at""SYS.UTL_HTTP"",line1525ORA-06512:at""CP.CP_PCK"",line149",,,,CPS:SYNC,,,,,,
10,,,,,,,,4,14.04.202000:47:35,CP_PCK.DeleteEmployeeCP_API_PCK.SendERROR,"ERROR:ORA-20000:<Error><Message>Zzdats.Cp.Core.CpException:DocumentIDisnotsetorisemptyatZzdats.Cp.Core.CpRequestHandler.Send(XmlElementrequest)inc:\Darbs\ZzdatsCoreBased\DEVVS2010NetFx3514mix\Zzdats.Cp\Zzdats.Cp.Core\CpRequestHandler.cs:line111atZzdats.Cp.Api.Controllers.CpController.Post(HttpRequestMessagerequest,Stringxml)</Message></Error>ORA-06512:at""CP.CP_PCK"",line127",,,,KADRI.DB,,,,,,
